station_id,stationname,date,daytype,rides
40010,Austin-Forest Park,1/1/2019,U,576
40020,Harlem-Lake,1/1/2019,U,981
40030,Pulaski-Lake,1/1/2019,U,835
40040,Quincy/Wells,1/1/2019,U,929
40050,Davis,1/1/2019,U,1207
40060,Belmont-O'Hare,1/1/2019,U,1608
40070,Jackson/Dearborn,1/1/2019,U,1495
40080,Sheridan,1/1/2019,U,1839
40090,Damen-Brown,1/1/2019,U,643
40100,Morse,1/1/2019,U,2021
40120,35th/Archer,1/1/2019,U,754
40130,51st,1/1/2019,U,414
40140,Dempster-Skokie,1/1/2019,U,378
40150,Pulaski-Cermak,1/1/2019,U,527
40160,LaSalle/Van Buren,1/1/2019,U,239
40170,Ashland-Lake,1/1/2019,U,485
40180,Oak Park-Forest Park,1/1/2019,U,356
40190,Sox-35th-Dan Ryan,1/1/2019,U,1671
40200,Randolph/Wabash,1/1/2019,U,0
40210,Damen-Cermak,1/1/2019,U,394
40220,Western-Forest Park,1/1/2019,U,618
40230,Cumberland,1/1/2019,U,1038
40240,79th,1/1/2019,U,3342
40250,Kedzie-Homan-Forest Park,1/1/2019,U,978
40260,State/Lake,1/1/2019,U,3359
40270,Main,1/1/2019,U,350
40280,Central-Lake,1/1/2019,U,706
40290,Ashland/63rd,1/1/2019,U,370
40300,Indiana,1/1/2019,U,274
40310,Western-Orange,1/1/2019,U,962
40320,Division/Milwaukee,1/1/2019,U,2282
40330,Grand/State,1/1/2019,U,8547
40340,Berwyn,1/1/2019,U,1335
40350,UIC-Halsted,1/1/2019,U,981
40360,Southport,1/1/2019,U,1115
40370,Washington/Dearborn,1/1/2019,U,3436
40380,Clark/Lake,1/1/2019,U,3709
40390,Forest Park,1/1/2019,U,889
40400,Noyes,1/1/2019,U,157
40420,Cicero-Cermak,1/1/2019,U,518
40430,Clinton-Forest Park,1/1/2019,U,780
40440,California-Cermak,1/1/2019,U,425
40450,95th/Dan Ryan,1/1/2019,U,4008
40460,Merchandise Mart,1/1/2019,U,955
40470,Racine,1/1/2019,U,601
40480,Cicero-Lake,1/1/2019,U,639
40490,Grand/Milwaukee,1/1/2019,U,1341
40510,Garfield-South Elevated,1/1/2019,U,235
40520,Foster,1/1/2019,U,165
40530,Diversey,1/1/2019,U,1352
40540,Wilson,1/1/2019,U,2175
40550,Irving Park-O'Hare,1/1/2019,U,1554
40560,Jackson/State,1/1/2019,U,1757
40570,California/Milwaukee,1/1/2019,U,2191
40580,54th/Cermak,1/1/2019,U,592
40590,Damen/Milwaukee,1/1/2019,U,3528
40600,Kostner,1/1/2019,U,218
40610,Ridgeland,1/1/2019,U,218
40630,Clark/Division,1/1/2019,U,3637
40650,North/Clybourn,1/1/2019,U,2758
40660,Armitage,1/1/2019,U,946
40670,Western/Milwaukee,1/1/2019,U,2080
40680,Adams/Wabash,1/1/2019,U,1177
40690,Dempster,1/1/2019,U,270
40700,Laramie,1/1/2019,U,482
40710,Chicago/Franklin,1/1/2019,U,1267
40720,East 63rd-Cottage Grove,1/1/2019,U,326
40730,Washington/Wells,1/1/2019,U,687
40740,Western-Cermak,1/1/2019,U,389
40750,Harlem-O'Hare,1/1/2019,U,788
40760,Granville,1/1/2019,U,1398
40770,Lawrence,1/1/2019,U,2724
40780,Central Park,1/1/2019,U,433
40790,Monroe/Dearborn,1/1/2019,U,1148
40800,Sedgwick,1/1/2019,U,1013
