station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
40900,Howard,1/1/2020,4801.2,2852,2304.4,128557
41190,Jarvis,1/1/2020,1359.3,1027.5,811.4,38071
40100,Morse,1/1/2020,4119.4,2628,2091.8,111598
41300,Loyola,1/1/2020,4869.3,3517,2590,134143
40760,Granville,1/1/2020,3533.1,1619.8,1392.4,91169
40880,Thorndale,1/1/2020,2743,1191,994.8,70083
41380,Bryn Mawr,1/1/2020,4251.6,1850,1527.4,108573
40340,Berwyn,1/1/2020,2975,2298.3,1736.2,83323
41200,Argyle,1/1/2020,2891.6,2090.8,1640.4,80180
40770,Lawrence,1/1/2020,2736.3,1817.8,1761.4,76276
40540,Wilson,1/1/2020,6236.3,3503.5,2667,164547
40080,Sheridan,1/1/2020,4632,2519.8,1913.2,121548
41420,Addison-North Main,1/1/2020,5971.3,3502.3,3056,160657
41320,Belmont-North Main,1/1/2020,10974.7,6920.5,5754.6,297899
41220,Fullerton,1/1/2020,12980.3,6048,5000.8,334762
40650,North/Clybourn,1/1/2020,5199.2,3875.8,3172.8,145750
40630,Clark/Division,1/1/2020,7083.2,4575,3616.8,192215
41450,Chicago/State,1/1/2020,12422.9,8052.3,6455.6,337791
40330,Grand/State,1/1/2020,9774.5,7363.8,6404.8,276517
41660,Lake/State,1/1/2020,19489,9012.8,6515.4,497387
41090,Monroe/State,1/1/2020,9214.8,2862.8,1995.2,224152
40560,Jackson/State,1/1/2020,8977.9,2610.5,1748.2,216696
41490,Harrison,1/1/2020,3162.7,1931.3,1524.2,84926
41400,Roosevelt,1/1/2020,9408.3,6195.8,4588.6,254709
41000,Cermak-Chinatown,1/1/2020,3398.8,3200.8,2512.8,100141
40190,Sox-35th-Dan Ryan,1/1/2020,3583.3,1810.5,1566,93905
41230,47th-Dan Ryan,1/1/2020,2445.1,1593.5,1283.8,66586
41170,Garfield-Dan Ryan,1/1/2020,2642.9,1832.8,1310.4,72027
40910,63rd-Dan Ryan,1/1/2020,2672.7,1828.8,1485.6,73542
40990,69th,1/1/2020,3971.5,2604.8,2058.6,108085
40240,79th,1/1/2020,5624.7,3564.8,2946.4,152734
41430,87th,1/1/2020,3346.7,2026.5,1641.6,89942
40450,95th/Dan Ryan,1/1/2020,8384.1,4478.3,3673.6,220731
41050,Linden,1/1/2020,835.2,296.3,228.6,20703
41250,Central-Evanston,1/1/2020,728.5,313,256,18559
40400,Noyes,1/1/2020,901,435.8,301.6,23072
40520,Foster,1/1/2020,739.9,406.8,285,19330
40050,Davis,1/1/2020,3338.6,1982.8,1442.8,88595
40690,Dempster,1/1/2020,727.8,494.5,397,19974
40270,Main,1/1/2020,1061.2,612.5,439,27992
40840,South Boulevard,1/1/2020,755,346,255.2,19271
40140,Dempster-Skokie,1/1/2020,1574,579.3,403,38961
