station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
40900,Howard,1/1/2019,4649,3064.5,2364.8,126361
41190,Jarvis,1/1/2019,1286,1037.8,802.2,36453
40100,Morse,1/1/2019,3860.8,2678,2151.6,106407
41300,Loyola,1/1/2019,4310.6,3192.3,2473.6,119971
40760,Granville,1/1/2019,3333.1,2462.8,1841,92385
40880,Thorndale,1/1/2019,2658.8,1688.3,1296.6,71729
41380,Bryn Mawr,1/1/2019,4037.6,2662.8,1974,109348
40340,Berwyn,1/1/2019,2850.4,1935.3,1484.6,77873
41200,Argyle,1/1/2019,2633.2,2055.3,1604.6,74175
40770,Lawrence,1/1/2019,2639.2,2098.5,1695,74932
40540,Wilson,1/1/2019,5789.3,3707.5,2684.8,155619
40080,Sheridan,1/1/2019,4260.4,2597.5,1861,113423
41420,Addison-North Main,1/1/2019,5409.3,3418.3,2978.2,147569
41320,Belmont-North Main,1/1/2019,10183.3,7123,5562.6,280337
41220,Fullerton,1/1/2019,11121.3,6136.5,4827.4,293352
40650,North/Clybourn,1/1/2019,4874.3,3877,3023.8,137861
40630,Clark/Division,1/1/2019,6598.4,4857.8,3781.4,183502
41450,Chicago/State,1/1/2019,11662.7,8252.5,6344,321309
40330,Grand/State,1/1/2019,9208.1,7657.8,6362.2,265020
41660,Lake/State,1/1/2019,18699.6,9137,6421.8,480049
41090,Monroe/State,1/1/2019,9033.6,2897,2111,220882
40560,Jackson/State,1/1/2019,8177.9,2588.5,1951,200023
41490,Harrison,1/1/2019,3015,2073.5,1647.6,82861
41400,Roosevelt,1/1/2019,8426.8,6070.5,5279.8,236071
41000,Cermak-Chinatown,1/1/2019,2923.1,2995.5,2416.8,88375
40190,Sox-35th-Dan Ryan,1/1/2019,3119.9,1763.3,1552.4,83453
41230,47th-Dan Ryan,1/1/2019,2296.2,1610,1287.6,63395
41170,Garfield-Dan Ryan,1/1/2019,2525,1893.3,1423.8,70241
40910,63rd-Dan Ryan,1/1/2019,2561.3,1736,1474.2,70664
40990,69th,1/1/2019,4013.1,2913.5,2368.4,111784
40240,79th,1/1/2019,5349,3741.8,3134.8,148318
41430,87th,1/1/2019,3236.3,2243,1845.4,89398
40450,95th/Dan Ryan,1/1/2019,7984,4788.8,3911,214357
41050,Linden,1/1/2019,727.1,343.8,237.4,18559
41250,Central-Evanston,1/1/2019,674.7,285.3,256.2,17266
40400,Noyes,1/1/2019,824.8,465.3,301.4,21513
40520,Foster,1/1/2019,683.8,430,257.2,18050
40050,Davis,1/1/2019,3094,1969,1396.8,82929
40690,Dempster,1/1/2019,695.5,520.8,393,19350
40270,Main,1/1/2019,990.4,648.5,458,26673
40840,South Boulevard,1/1/2019,673.2,334.3,209.6,17196
40140,Dempster-Skokie,1/1/2019,1512.8,624.3,506.2,38310
41680,Oakton-Skokie,1/1/2019,810,279.5,203.2,19954
40890,O'Hare Airport,1/1/2019,8986,7233.3,8606.4,269656
40820,Rosemont,1/1/2019,5133.2,2486,1934.2,132545
40230,Cumberland,1/1/2019,3665.4,1241.5,996,90585
40750,Harlem-O'Hare,1/1/2019,2552.5,1019,745,63955
41280,Jefferson Park,1/1/2019,5373.2,2653.8,2113.8,139394
41330,Montrose-O'Hare,1/1/2019,2339.4,1005.5,779.4,59385
40550,Irving Park-O'Hare,1/1/2019,3691.9,1906,1458.6,96138
41240,Addison-O'Hare,1/1/2019,2564.4,1029.5,743.8,64253
40060,Belmont-O'Hare,1/1/2019,4121.4,2048.3,1601.8,106872
41020,Logan Square,1/1/2019,6618,3461.3,2533,172105
40570,California/Milwaukee,1/1/2019,4849.6,2444.5,1829.6,125618
40670,Western/Milwaukee,1/1/2019,4852.9,2061.8,1609,123055
40590,Damen/Milwaukee,1/1/2019,5386.2,3312.3,2626.2,144877
40320,Division/Milwaukee,1/1/2019,5550.7,2523,1955.4,141985
41410,Chicago/Milwaukee,1/1/2019,3309.2,1347.8,1028.8,83338
40490,Grand/Milwaukee,1/1/2019,2520.4,1298.3,1030.8,65795
40370,Washington/Dearborn,1/1/2019,12013.8,4734.3,3515.2,300816
40790,Monroe/Dearborn,1/1/2019,7189.7,1624.8,1197,170658
40070,Jackson/Dearborn,1/1/2019,5908.5,1908.8,1528.4,145263
41340,LaSalle,1/1/2019,2488.5,839,703.4,61621
40430,Clinton-Forest Park,1/1/2019,3047.6,842.5,739.4,74115
40350,UIC-Halsted,1/1/2019,4945.4,1423,1102,120000
40470,Racine,1/1/2019,1924.3,743,605.6,48335
40810,Medical Center,1/1/2019,2469.5,799,603,60540
40220,Western-Forest Park,1/1/2019,1344.8,704,561.8,35211
